Episode,Agent1_Epsilon,Agent2_Epsilon,Agent1_Avg_Loss,Agent2_Avg_Loss,Agent1_Avg_Reward,Agent2_Avg_Reward,Agent1_Win_Rate,Agent2_Win_Rate
100,0.951217530242334,0.951217530242334,10.471227803826332,10.482624850422145,0.85,1.23,0.3,0.22
200,0.9048147898403269,0.9048147898403269,10.81645622432232,10.966125512421131,3.12,3.94,0.3,0.25
300,0.8606756897186528,0.8606756897186528,9.906145676448942,9.6253521412611,2.28,1.81,0.21,0.3
400,0.8186898039137951,0.8186898039137951,7.719701052382589,8.441918625384568,2.83,2.75,0.28,0.31
500,0.7787520933134615,0.7787520933134615,7.063628376051784,6.96750443123281,2.82,4.13,0.31,0.36
600,0.7407626428726788,0.7407626428726788,6.203498348295689,5.732182555496693,1.24,5.17,0.32,0.32
700,0.7046264116491338,0.7046264116491338,5.40983212992549,5.813374139145017,2.91,3.59,0.47,0.26
800,0.6702529950324074,0.6702529950324074,4.856824123598635,4.974011103212834,2.58,3.38,0.28,0.36
900,0.637556398572254,0.637556398572254,4.24326783567667,4.142748341597617,2.29,0.64,0.24,0.46
1000,0.606454822840097,0.606454822840097,3.5635508304834365,3.7787453445792196,2.44,1.77,0.36,0.38
1100,0.5768704587855094,0.5768704587855094,10.947758723646402,11.000252239778638,2.26,2.21,0.36,0.39
1200,0.548729293075715,0.548729293075715,7.95365936562419,7.9784368568658826,4.32,2.62,0.35,0.49
1300,0.5219609229311034,0.5219609229311034,7.850526526421309,8.190375885665416,1.54,2.77,0.36,0.39
1400,0.49649837999353363,0.49649837999353363,6.719096913337707,6.858747519552708,3.36,3.54,0.43,0.43
1500,0.4722779627867691,0.4722779627867691,6.427225277945399,6.459667881131172,3.01,2.31,0.38,0.48
1600,0.44923907734991153,0.44923907734991153,6.827917556688189,6.498673270344734,0.64,1.57,0.38,0.38
1700,0.4273240856451275,0.4273240856451275,5.846903771460056,6.554362081289291,2.67,-0.38,0.35,0.41
1800,0.406478161360422,0.406478161360422,5.516457370147109,5.979343159794808,2.9,2.68,0.45,0.45
1900,0.3866491527467055,0.3866491527467055,5.692396703362465,6.090744201093912,1.22,0.63,0.42,0.39
2000,0.3677874521460121,0.3677874521460121,5.867950140759349,7.023717992976308,0.63,-1.77,0.38,0.4
2100,0.34984587188445015,0.34984587188445015,11.225119577944279,11.382841691970825,-0.87,-0.22,0.43,0.39
2200,0.3327795262194029,0.3327795262194029,6.9652664959430695,7.64486040443182,3.55,0.63,0.34,0.55
2300,0.31654571904563433,0.31654571904563433,6.13972570374608,7.289411244243383,2.59,-0.77,0.43,0.46
2400,0.3011038370793723,0.3011038370793723,5.984502227306366,6.8845910966396335,1.56,-0.82,0.4,0.49
2500,0.28641524825313086,0.28641524825313086,5.270305381417274,4.725078200623393,3.38,3.3,0.42,0.53
2600,0.27244320506708813,0.27244320506708813,5.454561370164156,5.192320483773947,0.13,1.79,0.47,0.41
2700,0.25915275265522114,0.25915275265522114,4.990140136182308,5.498924486488104,-1.57,0.45,0.51,0.36
2800,0.24651064133620196,0.24651064133620196,5.8375173211842775,5.883948256447911,-1.3,-1.35,0.38,0.46
2900,0.23448524343027585,0.23448524343027585,5.406860940605402,5.1769242959469555,0.31,-0.28,0.37,0.55
3000,0.22304647413401948,0.22304647413401948,4.952298527285457,5.857997644618154,0.33,-1.31,0.47,0.41
3100,0.21216571625502262,0.21216571625502262,7.3699546301364895,5.5201190461218355,2.39,4.69,0.51,0.46
3200,0.2018157486181985,0.2018157486181985,5.897515599876642,5.264489844888448,4.34,0.57,0.35,0.61
3300,0.1919706779646106,0.1919706779646106,4.9088336431980135,5.037172041982412,1.21,1.99,0.53,0.4
3400,0.1826058741724434,0.1826058741724434,3.760200014859438,3.9264429143071173,5.46,1.12,0.38,0.6
